mol_id,psmiles,num_nodes,num_edges,csv_row,file_path
35,[*]CC/C=C(/[*])c1ccccc1CCC(=O)OCCOc1ccc([Si](=O)(O)O)cc1,30,31,35,demo/finetune_high_Tg/scored/cond/graphs/batch_0/35.npz
36,[*]CCCc1ccc(COC2C(=O)N(c3ccc(C(=O)c4cccc(O[*])c4)cc3)[SH]2)cc1,33,36,36,demo/finetune_high_Tg/scored/cond/graphs/batch_0/36.npz
37,[*]CCCCCCOCCCCCOc1ccc(CCNC(=O)Nc2ccc(N[*])cc2)nc1,34,35,37,demo/finetune_high_Tg/scored/cond/graphs/batch_0/37.npz
38,[*]CC(CC(=O)OCCCCCCCCCCOC(=O)N[*])c1ccc(N(C)C)cc1,31,31,38,demo/finetune_high_Tg/scored/cond/graphs/batch_0/38.npz
39,[*]CC([*])CCCCNC(=O)c1ccc(/C=C/CCCCCC(=O)NCC)cc1,29,29,39,demo/finetune_high_Tg/scored/cond/graphs/batch_0/39.npz
40,[*]CC([*])(C)C(=O)OCCC(C)NS(=O)(=O)C1CCOC1,21,21,40,demo/finetune_high_Tg/scored/cond/graphs/batch_0/40.npz
42,[*]Oc1ccc(CCCCc2ccc(C)c(OC([*])=O)c2)cc1C(F)(F)F,27,28,42,demo/finetune_high_Tg/scored/cond/graphs/batch_0/42.npz
43,[*]Nc1cc([*])c(OCCCC)cc1OC(=O)Oc1ccc(S(=O)(=O)S(=O)[O-])cc1,30,31,43,demo/finetune_high_Tg/scored/cond/graphs/batch_0/43.npz
44,[*]C=C(CC)c1ccc(-n2on2-c2cccc(/C=C/C(=O)O[*])c2)cc1,26,28,44,demo/finetune_high_Tg/scored/cond/graphs/batch_0/44.npz
46,[*]CC([2H])(F)C(=O)OCCOC(=O)N(F)C(F)(F)C(F)(F)C([*])(C)Nc1ccccc1,31,31,46,demo/finetune_high_Tg/scored/cond/graphs/batch_0/46.npz
47,[*]CN([*])CCCCCCc1cc(-c2ccccc2)ccc1C,23,24,47,demo/finetune_high_Tg/scored/cond/graphs/batch_0/47.npz
48,[*]C#Cc1ccc(CN[*])c(OCCCCCCCCCCC)c1,24,24,48,demo/finetune_high_Tg/scored/cond/graphs/batch_0/48.npz
49,[*]/C=C/c1ccc(-c2c(C(=O)OCC)cc(OCC(C)CCCC)cc2C(C)=O)c(O[*])c1OC(C)=O,37,38,49,demo/finetune_high_Tg/scored/cond/graphs/batch_0/49.npz
50,[*]CNC(=O)C(CC(C)C)c1ccc(C(=O)N[*])cc1,20,20,50,demo/finetune_high_Tg/scored/cond/graphs/batch_0/50.npz
51,[*]Cc1ccc(-c2ccc(NC(=O)CCCCCCCCC([*])c3ccc(OC)cc3)cc2)cc1,35,37,51,demo/finetune_high_Tg/scored/cond/graphs/batch_0/51.npz
52,[*]/C=C/CCCCCCCCCCCCCCOP(=O)(C(=O)Nc1cccc(N=[*])c1)c1ccc(C#C)cc1C(C)C,42,43,52,demo/finetune_high_Tg/scored/cond/graphs/batch_0/52.npz
54,[*]CCCN(CC(=O)Nc1ccc(C#N)cc1)CC(C)=NC(=O)c1cccc(C(=O)O[*])c1,33,34,54,demo/finetune_high_Tg/scored/cond/graphs/batch_0/54.npz
55,[*]CC([*])(C)C(=O)OCCOC1C=CC(CC)C1,18,18,55,demo/finetune_high_Tg/scored/cond/graphs/batch_0/55.npz
56,[*]CCOc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(C(=O)OCCc2ccc([*])cc2)C3=O)cc1OC,38,41,56,demo/finetune_high_Tg/scored/cond/graphs/batch_0/56.npz
58,[*]OCC(CCCCCC)C([*])[2H],13,12,58,demo/finetune_high_Tg/scored/cond/graphs/batch_0/58.npz
59,[*]Oc1ccc(C(c2ccccc2)c2ccc(Oc3ccc(C([*])=O)cc3)cc2)cc1,31,34,59,demo/finetune_high_Tg/scored/cond/graphs/batch_0/59.npz
60,[*]CC=C(O)c1cccc(N2C(=O)c3ccc(C(=O)C([*])(F)F)cc3C2=O)c1,28,30,60,demo/finetune_high_Tg/scored/cond/graphs/batch_0/60.npz
61,[*]CCC(=O)NCCCC/C=C/C1CCC(C(=O)N[*])COC1,23,23,61,demo/finetune_high_Tg/scored/cond/graphs/batch_0/61.npz
62,[*]CCCCCNc1ccc(NC(=O)c2ccc(C(=O)N[*])c(OC)c2[N+](=O)[O-])cc1,31,32,62,demo/finetune_high_Tg/scored/cond/graphs/batch_0/62.npz
63,[*]Oc1ccc(OC(=O)c2ccc(OCC(CCCCCC)c3ccc(S([*])(=O)=O)cc3)cc2)c(-c2ccccc2)c1,42,45,63,demo/finetune_high_Tg/scored/cond/graphs/batch_0/63.npz
64,[*]CCCCC(=O)N/C=C/[Si](C)(C)C(=O)NCCCCCCCOC(=O)c1ccccc1C(=O)O[*],36,36,64,demo/finetune_high_Tg/scored/cond/graphs/batch_0/64.npz
67,[*]CCCCCCCCN=C([*])C(=O)OCCCNc1ccc(C)nc1,26,26,67,demo/finetune_high_Tg/scored/cond/graphs/batch_0/67.npz
68,[*]CC(C)(C)C(=O)NCCCCCCCCCCc1ccc(N([*])C(C)CC)cc1,30,30,68,demo/finetune_high_Tg/scored/cond/graphs/batch_0/68.npz
69,[*]Oc1ccc(C(=O)NNC(=O)c2ccc(N3C([*])C3=O)cc2)cc1Cl,26,28,69,demo/finetune_high_Tg/scored/cond/graphs/batch_0/69.npz
70,[*]N=P([*])(C)CCCCCCCCCCCC,17,16,70,demo/finetune_high_Tg/scored/cond/graphs/batch_0/70.npz
71,[*]/C=C/c1cc(OCCCCCCCC)c(/C=C/C(=O)c2ccc([*])c(S(=O)(=O)c3ccc(F)cc3)c2)cc1C,40,42,71,demo/finetune_high_Tg/scored/cond/graphs/batch_0/71.npz
72,[*]CCCCCCCCCCCCCCNC(=O)CC(Oc1ccc(-c2ccc(C(C)CC)cc2)cc1)C(=O)N[*],41,42,72,demo/finetune_high_Tg/scored/cond/graphs/batch_0/72.npz
73,[*]CC(=O)Nc1ccc(NCCCCOCCNC(=O)CCCCCCC(=O)Nc2ccc(C([*])=O)cc2)cc1,40,41,73,demo/finetune_high_Tg/scored/cond/graphs/batch_0/73.npz
74,[*]CC(C)NCCCCCCCC[PH](=O)(CC)CO[*],20,19,74,demo/finetune_high_Tg/scored/cond/graphs/batch_0/74.npz
75,[*]CC(CC(=O)NCCCCCCCCNC(=O)CCCCC([*])O)OC(C)C,29,28,75,demo/finetune_high_Tg/scored/cond/graphs/batch_0/75.npz
76,[*]CCC([*])(C)C(=O)Oc1ccc(/N=N/c2ccc(C#N)cc2)cc1OC(C)=O,29,30,76,demo/finetune_high_Tg/scored/cond/graphs/batch_0/76.npz
77,[*]Oc1cc(Br)c(OCCC)c(Oc2ccc(C=[*])nc2)c1,22,23,77,demo/finetune_high_Tg/scored/cond/graphs/batch_0/77.npz
78,[*]OC(CCCCOc1ccc(/C=N/c2ccc(OCCCCCCN(C#N)CCc3ccccc3)cc2)cc1)C(=O)NCCCCCCCN[*],52,54,78,demo/finetune_high_Tg/scored/cond/graphs/batch_0/78.npz
79,[*]Oc1ccc(COc2ccc(/N=N/[Si](C)(C)c3cccc([*])c3)cc2)cc1,28,30,79,demo/finetune_high_Tg/scored/cond/graphs/batch_0/79.npz
82,[*]Cc1ccc(NCCCCCCCc2ccc(Nc3cc(CC)c([*])cc3CC(C)C)s2)cc1,35,37,82,demo/finetune_high_Tg/scored/cond/graphs/batch_0/82.npz
83,[*]CC(CCc1ccc(/N=C/P(=O)(c2ccccc2)c2ccc(-c3nnc([N+](=O)[O-])cc3)cc2)cc1)C(=O)N([*])C(C)C,43,46,83,demo/finetune_high_Tg/scored/cond/graphs/batch_0/83.npz
84,[*]CC([*])(C)C(=O)OCC(CC(C)C)OC(=O)CCCCCC,23,22,84,demo/finetune_high_Tg/scored/cond/graphs/batch_0/84.npz
86,[*]C(C)C([*])(C)C(=O)OCCCCCCCCN1C=C(C(F)(F)F)C(=O)C1,27,27,86,demo/finetune_high_Tg/scored/cond/graphs/batch_0/86.npz
87,[*]O[Si]([*])(C)C(=O)OC(C)CCNCC,15,14,87,demo/finetune_high_Tg/scored/cond/graphs/batch_0/87.npz
88,[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(NC(=O)c4ccc(C(=O)c5ccccc5S([*])(=O)=O)cc4)cc3OCCCCCCCCCCCCCCCCC)cc2)c(C(=O)OC(C)CC)c1,70,74,88,demo/finetune_high_Tg/scored/cond/graphs/batch_0/88.npz
89,[*]C([*])c1ccc(C(=O)OCCN(C)c2ccc([N+](=O)[O-])cc2C)cc1,26,27,89,demo/finetune_high_Tg/scored/cond/graphs/batch_0/89.npz
90,[*]CCCCCc1ccc(C(=O)OCCCCCCCCCOc2ccc(NC(=O)SSCCN3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,50,53,90,demo/finetune_high_Tg/scored/cond/graphs/batch_0/90.npz
91,[*]CSc1ccc(N2C(=O)c3ccccc3C(=O)OCC(F)(F)C2(F)F)cc1C([*])=O,31,33,91,demo/finetune_high_Tg/scored/cond/graphs/batch_0/91.npz
92,[*]CC(CCC)=C(C(=O)Nc1ccc(Oc2ccc(C(c3ccc(O[*])cc3)c3ccccc3C(F)(F)F)cc2)cc1)OCC,45,48,92,demo/finetune_high_Tg/scored/cond/graphs/batch_0/92.npz
95,[*]CC(CCOC(=O)Sc1cccc(C([*])=O)c1)C1C(=O)OC1=O,24,25,95,demo/finetune_high_Tg/scored/cond/graphs/batch_0/95.npz
96,[*]Cc1ccc(NC(=O)c2cnc(OCCCCCC([*])=O)cc2C)s1,26,27,96,demo/finetune_high_Tg/scored/cond/graphs/batch_0/96.npz
97,[*]C#Cc1cc(C)c(NCCCCCCN2CCCCC2[*])c(NCC)c1,27,28,97,demo/finetune_high_Tg/scored/cond/graphs/batch_0/97.npz
98,[*]C#Cc1ccc([*])c(N(CC)C(=O)OCC=CCOC)c1,22,22,98,demo/finetune_high_Tg/scored/cond/graphs/batch_0/98.npz
99,[*]Sc1ccc(/C(C)=C/c2ccc3c(c2)C(=O)N(c2ccc([*])cc2C)C3=O)cc1,30,33,99,demo/finetune_high_Tg/scored/cond/graphs/batch_0/99.npz
100,[*]CC([*])c1ccc(C(NC(=O)C#[Ge]CC(=O)OC)c2ccc([N+](=O)[O-])cc2)cc1,30,31,100,demo/finetune_high_Tg/scored/cond/graphs/batch_0/100.npz
101,[*]/C=C/c1ccc(OC(=O)c2cc(C(=S)OC)ccc2CCCCO[*])cc1,28,29,101,demo/finetune_high_Tg/scored/cond/graphs/batch_0/101.npz
102,[*]CCSCCCNC(=O)CCNC(=O)C(=O)N[*],19,18,102,demo/finetune_high_Tg/scored/cond/graphs/batch_0/102.npz
104,[*]Cc1ccc(C(C)(CC)c2ccc(C(=O)N3CCC([*])=C3OCCCCCCCCCC)cc2)cc1,37,39,104,demo/finetune_high_Tg/scored/cond/graphs/batch_0/104.npz
105,[*]CCOCCOc1ccc(NC(=O)c2ccc(CCCCCCN3CCC([*])CC3=O)cc2)cc1,36,38,105,demo/finetune_high_Tg/scored/cond/graphs/batch_0/105.npz
106,[*]CC(COc1ccc(C(C)(C)C)cc1)c1ccc(OC(=O)CCCCCCCCCCC(=O)Oc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,55,59,106,demo/finetune_high_Tg/scored/cond/graphs/batch_0/106.npz
107,[*]CC(C)(C)CCCCCCCCOc1ccc(S(=O)(=O)c2ccc(OC[Si]([*])(C)C)cc2)cc1,35,36,107,demo/finetune_high_Tg/scored/cond/graphs/batch_0/107.npz
108,[*]/C=C/c1ccc(N(Cc2ccc(Cl)cc2)COC(=O)CCC([*])(C)C)cc1,28,29,108,demo/finetune_high_Tg/scored/cond/graphs/batch_0/108.npz
109,[*]NC1CCC(CN)C(=O)C1NC(Sc1ccc(OCCC)cc1)OC([*])=O,28,29,109,demo/finetune_high_Tg/scored/cond/graphs/batch_0/109.npz
110,[*]CC([*])CCNC(=O)C(=O)NCCCCCCCN1CCOCC(=O)C1C,28,28,110,demo/finetune_high_Tg/scored/cond/graphs/batch_0/110.npz
111,[*]c1cc(OC)c(-c2ccc(C(C)(C)c3ccc(N[*])cc3)cc2)c(C)c1,27,29,111,demo/finetune_high_Tg/scored/cond/graphs/batch_0/111.npz
112,[*]/C=C/c1nnc(-c2ccccc2C(=O)OCCCC(F)(F)C([*])(F)F)[nH]1,27,28,112,demo/finetune_high_Tg/scored/cond/graphs/batch_0/112.npz
114,[*]C(=O)NCCCCCNC(=O)c1cc(Cl)c(/C=C/C(=[*])C)cc1C(=O)OC,28,28,114,demo/finetune_high_Tg/scored/cond/graphs/batch_0/114.npz
115,[*]NC(C=O)=Nc1ccc(-c2ccc(NC(=O)Nc3ccc([*])cc3)cc2)cc1,29,31,115,demo/finetune_high_Tg/scored/cond/graphs/batch_0/115.npz
116,[*]/C=C/c1ccc(Oc2ccc(C(=O)N(C#N)C(=O)c3ccc(C(C)(C)c4ccc([*])cc4)cc3)cc2)c(Br)c1,40,43,116,demo/finetune_high_Tg/scored/cond/graphs/batch_0/116.npz
117,[*]CCCCCOc1ccc(N(C)C(=O)CCCCCCCCc2ccc(Oc3ccc(S([*])(=O)=O)cc3)cc2)c(C#N)c1,44,46,117,demo/finetune_high_Tg/scored/cond/graphs/batch_0/117.npz
118,[*]CCCCOC(=O)CCCCCCC=CNC(=O)N[*],21,20,118,demo/finetune_high_Tg/scored/cond/graphs/batch_0/118.npz
119,[*]N=Cc1ccc(-c2cnc(C(=O)OCCCCCCCCCSCCCC)cc2)c([*])c1,33,34,119,demo/finetune_high_Tg/scored/cond/graphs/batch_0/119.npz
120,[*]CCCCCCCCCOC(=O)CC([*])NC,18,17,120,demo/finetune_high_Tg/scored/cond/graphs/batch_0/120.npz
121,[*]CCN(C(=O)N[*])c1ccc([Si](C)(C)CCC(=O)Oc2ccccc2)cc1,28,29,121,demo/finetune_high_Tg/scored/cond/graphs/batch_0/121.npz
122,[*]CC#CCOC(=O)CSC(=O)NCCCCCCNc1ccc([*])cc1P(=O)(=O)OCC,33,33,122,demo/finetune_high_Tg/scored/cond/graphs/batch_0/122.npz
123,[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc4nc([*])ccc4c3OCC(CC)CCCC)cc2)cc1,38,41,123,demo/finetune_high_Tg/scored/cond/graphs/batch_0/123.npz
124,[*]Oc1ccc2ccccc2c1C(=O)OCCCCCCOC(=O)NCCCCC[Si]([*])(C)c1ccc(C)cc1,40,42,124,demo/finetune_high_Tg/scored/cond/graphs/batch_0/124.npz
125,[*]/C=C/CCNC(=O)c1ccc([PH]([*])c2ccc(I)cc2)cc1,23,24,125,demo/finetune_high_Tg/scored/cond/graphs/batch_0/125.npz
126,[*]CCS(=O)(=O)c1ccc(NC(=O)COCC/C=C/c2ccc(C(=O)O[*])cc2)cc1,31,32,126,demo/finetune_high_Tg/scored/cond/graphs/batch_0/126.npz
127,[*]Nc1ccccc1CCCCCCCCCCCOc1ccc(-c2ccc(Oc3ccc(CNC(=O)/C=C/c4cc(OC#CCCCCCCCCCCC)c(C([*])=O)cc4C(=O)O)cc3)cc2)cc1,71,75,127,demo/finetune_high_Tg/scored/cond/graphs/batch_0/127.npz
128,[*]CCCCCCOc1ccc(NC(=O)CCCCCCC(=O)Nc2ccc(C(=O)N([*])CCCCCC)cc2)cc1,42,43,128,demo/finetune_high_Tg/scored/cond/graphs/batch_0/128.npz
129,[*]C([*])(C(=O)Oc1ccccc1)C(=O)Oc1ccc(O)cc1/N=N/c1ccc(-c2c(OC)cc(F)cc2)cc1,39,42,129,demo/finetune_high_Tg/scored/cond/graphs/batch_0/129.npz
130,[*]CC([*])c1nnc(C(F)(F)C(F)(F)OCC)cc1O,20,20,130,demo/finetune_high_Tg/scored/cond/graphs/batch_0/130.npz
132,[*]C(=O)N(Cl)Cc1ccc(CNC(=O)c2ccc([*])nc2)cc1,23,24,132,demo/finetune_high_Tg/scored/cond/graphs/batch_0/132.npz
133,[*]CCCCCCCOC(=O)NC(C([*])=O)C(C)OC(C)C,22,21,133,demo/finetune_high_Tg/scored/cond/graphs/batch_0/133.npz
135,[*]OC(=O)N(c1ccccc1)C(C)CC(C)NC(=O)c1cccc(C(=O)NC([*])=O)c1,31,32,135,demo/finetune_high_Tg/scored/cond/graphs/batch_0/135.npz
136,[*]CC([*])(CC(=O)Nc1ccc(-c2ccccc2)cc1)C(=O)OCC(F)(Cl)C(=O)C=C,31,32,136,demo/finetune_high_Tg/scored/cond/graphs/batch_0/136.npz
137,[*]C(=O)C(C)C(=O)Oc1ccc(C(=O)c2ccc(N=C(OCC(F)(F)F)c3ccc(OC([*])=O)cc3)c(Cl)c2)cc1,41,43,137,demo/finetune_high_Tg/scored/cond/graphs/batch_0/137.npz
138,[*]CC([*])(C)C(=O)Oc1ccc(/C=C/c2ccc(OCCCCCCCCC#C)cc2)cc1,33,34,138,demo/finetune_high_Tg/scored/cond/graphs/batch_0/138.npz
139,[*]/C=C/c1cccc(Oc2ccc(C(C)=CSc3ccc([*])cc3)cc2)c1,27,29,139,demo/finetune_high_Tg/scored/cond/graphs/batch_0/139.npz
140,[*]CC([*])C(=O)OCCCCCCCCN(C#C)C(=O)CCCCCC,26,25,140,demo/finetune_high_Tg/scored/cond/graphs/batch_0/140.npz
143,[*]CC(O)COc1ccc(Br)c(S(=O)(=O)c2ccc(O[*])cc2C)c1,25,26,143,demo/finetune_high_Tg/scored/cond/graphs/batch_0/143.npz
144,[*]CNC(=O)c1c(Cl)cc(Cl)c(S(=O)(=O)c2ccccc2)c1O[*],24,25,144,demo/finetune_high_Tg/scored/cond/graphs/batch_0/144.npz
145,[*]CCC(=O)NCNC(=O)c1ccc(S(=O)(=O)N[*])c(C)c1C,23,23,145,demo/finetune_high_Tg/scored/cond/graphs/batch_0/145.npz
147,[*]N=P([*])(F)Oc1cc(C(C)(C)C)c(C)cc1N=NC(F)(F)F,23,23,147,demo/finetune_high_Tg/scored/cond/graphs/batch_0/147.npz
148,[*]CCCOC(=O)c1ccc(OCCCCCCCCCCNC(=O)O[*])cc1,29,29,148,demo/finetune_high_Tg/scored/cond/graphs/batch_0/148.npz
149,[*]Sc1cccc(C#C[Si](NC(=O)NNC(=O)c2ccc(C([*])=O)cc2)C2CCCCC2C)c1,34,36,149,demo/finetune_high_Tg/scored/cond/graphs/batch_0/149.npz
150,[*]CCCCC(C)C(=O)NCCCCNC(=O)c1ccc(C#CC(C)CCC[*])cc1,31,31,150,demo/finetune_high_Tg/scored/cond/graphs/batch_0/150.npz
151,[*]/C=N/c1ccc(NC(=O)c2sccc2-c2cc(NCC([*])S(=O)(=O)O)ccc2)cc1,31,33,151,demo/finetune_high_Tg/scored/cond/graphs/batch_0/151.npz
152,[*]CC([*])CC(=O)c1cccc([PH](=O)(=O)c2ccccc2F)c1,23,24,152,demo/finetune_high_Tg/scored/cond/graphs/batch_0/152.npz
153,[*]CC(C)(C)C(=O)OCC1CCCCCCCC1c1ccc(C[*])cc1,26,27,153,demo/finetune_high_Tg/scored/cond/graphs/batch_0/153.npz
154,[*]Oc1ccc(CCCCC(C)CCNC(=O)c2ccccc2N[*])c(CCCCCCCCC)c1,36,37,154,demo/finetune_high_Tg/scored/cond/graphs/batch_0/154.npz
155,[*]CCCCCCOc1ccc2c(c1)CCCCCCCCC/C(=C\c1ccc(O[*])cc1)c1ccccc12,39,42,155,demo/finetune_high_Tg/scored/cond/graphs/batch_0/155.npz
156,[*]OCP(=O)(c1ccccc1)c1ccc([*])c(C(C)(C)C)c1,22,23,156,demo/finetune_high_Tg/scored/cond/graphs/batch_0/156.npz
157,[*]C(=O)NCCCCCCNC(=O)/C=C/CC([*])=O,19,18,157,demo/finetune_high_Tg/scored/cond/graphs/batch_0/157.npz
158,[*]Oc1ccc(/C(C)=N/c2ccc(OC(=O)Oc3ccc(C([*])(C)C)cc3OCCOCCOCC)cc2)cc1,40,42,158,demo/finetune_high_Tg/scored/cond/graphs/batch_0/158.npz
159,[*]COc1ccc(C(NC(=O)c2ccc(O[*])cc2)c2cccc(-c3ccccc3)c2)cc1,33,36,159,demo/finetune_high_Tg/scored/cond/graphs/batch_0/159.npz
161,[*]NC(CCCC)COc1ccc(/C(=C/c2ccc(OC([*])=O)cc2)S(=O)(=O)c2cccc3ccccc23)cc1,40,43,161,demo/finetune_high_Tg/scored/cond/graphs/batch_0/161.npz
162,[*]NCCCCC([*])OC(C)(C)CC=C,15,14,162,demo/finetune_high_Tg/scored/cond/graphs/batch_0/162.npz
163,[*]C=CCCCCOC(=O)c1ccc(N=C(C)c2ccc([N+](=O)[O-])c(N[*])c2)cc1,30,31,163,demo/finetune_high_Tg/scored/cond/graphs/batch_0/163.npz
164,[*]Oc1ccc(C(C)CN(C)c2ccc(C(=O)NC(=O)Nc3ccc(C([*])=O)cc3)cc2)cc1,34,36,164,demo/finetune_high_Tg/scored/cond/graphs/batch_0/164.npz
166,[*]CC([*])(C)C(=O)OCCCCCCOc1ccc(/C=N/c2ccc(C3CCC(CCCCCCCCCC)C3)o2)cc1,43,45,166,demo/finetune_high_Tg/scored/cond/graphs/batch_0/166.npz
167,[*]CC(C)(C)NC(=O)C1CCN(C(=O)Nc2cccc(C([*])=O)c2)CC1,26,27,167,demo/finetune_high_Tg/scored/cond/graphs/batch_0/167.npz
168,[*]Cc1ccc(CNC(=O)CCCCCCC(=O)Nc2ccc(C(=O)N[*])cc2)c(OC)c1,33,34,168,demo/finetune_high_Tg/scored/cond/graphs/batch_0/168.npz
169,[*][Se]c1ccc(NC(=O)CNCC(C)(C)[Si](C)(C)NCC(=O)Nc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,43,46,169,demo/finetune_high_Tg/scored/cond/graphs/batch_0/169.npz
170,[*]C/C=C/OC(=O)c1ccc(NC(C)C(=O)O[*])cc1,20,20,170,demo/finetune_high_Tg/scored/cond/graphs/batch_0/170.npz
